IsoWeeks,flu,flue,bronchitis,chest infection,colds,pleurisy,sinusitis,tonsilitis,Disease Rate
Iso Week 86,389.0103701016947,245.72991446713093,58.69198808673842,0.0,64.97075148311374,0.0,122.89437494195602,262.5053648960804,2.219831634
Iso Week 87,300.64410754491536,174.71617332276554,199.04657837943856,66.80046879217336,388.1848664345497,250.40015698971595,176.41806749615566,136.86410830088477,2.677292289
Iso Week 88,625.3231087872412,319.2016736784211,255.03806399550948,155.12591329775162,63.52709204767706,0.0,59.49680684014444,65.36650733173204,2.743333699
Iso Week 89,666.7528990194678,171.7491849652899,122.87205814033456,231.0668110670069,0.0,62.32581494869618,291.1671481812798,171.65617547405594,2.75502694
Iso Week 90,394.63723610044286,126.30607165511368,0.0,133.76034875737108,0.0,70.76861609107473,61.88656570481884,137.06403826219093,2.051741501
Iso Week 91,423.522966743794,131.6268947127874,249.3326316756608,0.0,188.1689044276661,67.77668654909239,67.58124143957427,255.3491848727054,2.648425962
Iso Week 92,561.3705507695826,319.84765147044624,186.0642112179808,119.13949282006116,132.83270353629433,0.0,122.83556619793583,157.5984133398972,4.501560541
Iso Week 93,449.4617643046496,179.24556888331117,61.41205237425523,0.0,70.32829096648877,0.0,189.54745283359532,59.61528982563989,5.468395711
Iso Week 94,325.6330675709156,357.62250702104353,63.68722208395149,127.08450597310602,63.68722208395149,127.24316322642343,131.7967312798209,0.0,7.554528091
Iso Week 95,1147.4386819897795,390.5517352691453,123.11388636387508,0.0,70.57544372754207,191.7598171619029,120.80398585070792,0.0,7.299274079
Iso Week 96,478.2017078921704,123.37191925142182,128.72520911289232,253.80379317897405,63.42376746223603,91.72679321977456,129.33378925340176,230.68948039875048,6.488352326
Iso Week 97,733.0039413559678,235.613336591621,137.83496683447487,0.0,127.78610052694611,0.0,137.39217147889056,210.8463907325909,6.468924008
Iso Week 98,740.0984114661787,0.0,199.46768634918027,0.0,194.9709860061814,0.0,193.25755437406005,64.23918411613226,5.824187907
Iso Week 99,603.2207923862516,554.4317661163954,180.9332834865633,187.3108628590331,63.87191592795175,0.0,65.8637242183161,114.51566903497772,5.292259519
Iso Week 100,792.9626274271686,194.0935458624017,0.0,131.47697520776526,122.4747997419354,122.78188228368776,313.6783093351087,134.0468644354041,6.833252245
Iso Week 101,750.1594959208456,276.6161262105816,194.28227936167343,59.6883843137387,121.24642558321952,67.07961160309127,204.1142453172076,58.80854024215373,8.590947768
Iso Week 102,1230.3808485986665,543.4189373213181,125.04292042241973,62.98721792133767,125.04292042241973,125.32195565904772,194.4025807794772,61.98871061799753,7.621747895
Iso Week 103,688.9953095215287,176.03657051640977,107.51519217250195,225.7933945609173,116.77927276924648,0.0,59.89322569869592,226.8531879955272,8.418424661
